"id","data","target"
48,"[[436, 219, 20.881988525390625], [288, 217, 8.276573181152344], [288, 217, 8.276573181152344], [288, 217, 8.276573181152344], [288, 217, 8.276573181152344], [291, 193, 8.544103622436523], [291, 193, 8.544103622436523], [300, 148, 7.826338291168213], [300, 148, 7.826338291168213], [300, 148, 7.826338291168213]]",61
49,"[[561, 111, 52.833614349365234], [282, 218, 8.077847480773926], [282, 218, 8.077847480773926], [282, 218, 8.077847480773926], [285, 198, 8.732224464416504], [285, 198, 8.732224464416504], [285, 198, 8.732224464416504], [285, 198, 8.732224464416504], [285, 198, 8.732224464416504], [285, 198, 8.732224464416504]]",91
50,"[[427, 245, 33.55974578857422], [280, 204, 9.486932754516602], [280, 204, 9.486932754516602], [280, 204, 9.486932754516602], [280, 204, 9.486932754516602], [280, 204, 9.486932754516602], [280, 204, 9.486932754516602], [280, 204, 9.486932754516602], [280, 204, 9.486932754516602], [280, 204, 9.486932754516602]]",8
51,"[[276, 204, 8.381627082824707], [276, 204, 8.381627082824707], [277, 181, 8.860122680664062], [277, 181, 8.860122680664062], [277, 181, 8.860122680664062], [277, 181, 8.860122680664062], [277, 181, 8.860122680664062], [277, 181, 8.860122680664062], [277, 181, 8.860122680664062], [279, 140, 8.077847480773926]]",80
52,"[[370, 270, 40.61935043334961], [286, 206, 8.860122680664062], [286, 206, 8.860122680664062], [286, 206, 8.860122680664062], [288, 183, 8.544103622436523], [288, 183, 8.544103622436523], [288, 183, 8.544103622436523], [288, 183, 8.544103622436523], [288, 183, 8.544103622436523], [296, 140, 8.077847480773926]]",56
53,"[[433, 79, 18.034788131713867], [269, 208, 9.219644546508789], [269, 208, 9.219644546508789], [269, 208, 9.219644546508789], [269, 208, 9.219644546508789], [269, 208, 9.219644546508789], [269, 186, 9.219644546508789], [269, 186, 9.219644546508789], [269, 165, 8.860122680664062], [269, 165, 8.860122680664062]]",25
54,"[[226, 235, 181.1995849609375], [277, 201, 8.860122680664062], [277, 201, 8.860122680664062], [277, 201, 8.860122680664062], [277, 201, 8.860122680664062], [278, 178, 8.860122680664062], [278, 178, 8.860122680664062], [278, 178, 8.860122680664062], [278, 178, 8.860122680664062], [278, 178, 8.860122680664062]]",42
55,"[[428, 421, 53.012168884277344], [289, 188, 8.276573181152344], [289, 188, 8.276573181152344], [289, 188, 8.276573181152344], [296, 147, 7.905794143676758], [296, 147, 7.905794143676758], [300, 129, 7.826338291168213], [300, 129, 7.826338291168213], [300, 129, 7.826338291168213], [300, 129, 7.826338291168213]]",59
56,"[[442, 288, 19.241981506347656], [290, 202, 7.905794143676758], [290, 202, 7.905794143676758], [290, 202, 7.905794143676758], [307, 108, 7.645457744598389], [312, 100, 7.826338291168213], [312, 100, 7.826338291168213], [312, 100, 7.826338291168213], [312, 100, 7.826338291168213], [317, 96, 8.335684776306152]]",78
57,"[[461, 419, 39.99570846557617], [292, 202, 7.615873336791992], [292, 202, 7.615873336791992], [292, 202, 7.615873336791992], [304, 136, 7.615873336791992], [309, 125, 7.826338291168213], [309, 125, 7.826338291168213], [309, 125, 7.826338291168213], [309, 125, 7.826338291168213], [315, 116, 8.062357902526855]]",85
58,"[[482, 275, 45.67558670043945], [298, 195, 7.615873336791992], [298, 195, 7.615873336791992], [298, 195, 7.615873336791992], [307, 138, 7.615873336791992], [307, 138, 7.615873336791992], [307, 138, 7.615873336791992], [307, 138, 7.615873336791992], [307, 138, 7.615873336791992], [307, 138, 7.615873336791992]]",53
59,"[[546, 288, 61.01247024536133], [301, 215, 7.615873336791992], [301, 215, 7.615873336791992], [301, 215, 7.615873336791992], [304, 195, 7.826338291168213], [304, 195, 7.826338291168213], [304, 195, 7.826338291168213], [304, 195, 7.826338291168213], [304, 195, 7.826338291168213], [304, 195, 7.826338291168213]]",71
60,"[[492, 146, 42.361637115478516], [292, 184, 8.077847480773926], [292, 184, 8.077847480773926], [292, 184, 8.077847480773926], [300, 150, 7.615873336791992], [300, 150, 7.615873336791992], [305, 135, 8.276573181152344], [305, 135, 8.276573181152344], [305, 135, 8.276573181152344], [311, 122, 8.632251739501953]]",65
61,"[[560, 402, 49.932552337646484], [290, 206, 8.381627082824707], [290, 206, 8.381627082824707], [291, 184, 7.905794143676758], [291, 184, 7.905794143676758], [291, 184, 7.905794143676758], [291, 184, 7.905794143676758], [291, 184, 7.905794143676758], [294, 143, 8.077847480773926], [294, 143, 8.077847480773926]]",61
