"id","data","target"
75,"[[280, 254, 8.381627082824707], [280, 254, 8.381627082824707], [280, 254, 8.381627082824707], [280, 254, 8.381627082824707], [280, 254, 8.381627082824707], [285, 183, 9.962529182434082], [285, 183, 9.962529182434082], [285, 183, 9.962529182434082], [285, 183, 9.962529182434082], [285, 183, 9.962529182434082]]",0
76,"[[298, 188, 9.013978004455566], [298, 188, 9.013978004455566], [301, 172, 9.013978004455566], [301, 172, 9.013978004455566], [301, 172, 9.013978004455566], [301, 172, 9.013978004455566], [305, 158, 9.178879737854004], [305, 158, 9.178879737854004], [310, 148, 9.300638198852539], [310, 148, 9.300638198852539]]",95
77,"[[276, 249, 8.860122680664062], [276, 249, 8.860122680664062], [276, 249, 8.860122680664062], [277, 186, 8.732224464416504], [277, 186, 8.732224464416504], [277, 186, 8.732224464416504], [277, 186, 8.732224464416504], [278, 168, 8.860122680664062], [278, 168, 8.860122680664062], [279, 152, 8.560774803161621]]",87
78,"[[283, 250, 8.860122680664062], [283, 250, 8.860122680664062], [283, 250, 8.860122680664062], [283, 250, 8.860122680664062], [283, 250, 8.860122680664062], [283, 198, 7.762187480926514], [283, 198, 7.762187480926514], [284, 176, 10.30786418914795], [284, 176, 10.30786418914795], [284, 176, 10.30786418914795]]",25
79,"[[282, 230, 8.077847480773926], [282, 230, 8.077847480773926], [282, 230, 8.077847480773926], [288, 162, 9.65670394897461], [288, 162, 9.65670394897461], [288, 162, 9.65670394897461], [288, 162, 9.65670394897461], [288, 162, 9.65670394897461], [288, 162, 9.65670394897461], [293, 126, 10.12432861328125]]",50
0,"[[291, 211, 10.440406799316406], [291, 211, 10.440406799316406], [291, 211, 10.440406799316406], [293, 187, 9.962529182434082], [293, 187, 9.962529182434082], [296, 165, 9.65670394897461], [296, 165, 9.65670394897461], [296, 165, 9.65670394897461], [299, 144, 9.65670394897461], [299, 144, 9.65670394897461]]",50
1,"[[280, 250, 8.276573181152344], [280, 250, 8.276573181152344], [280, 250, 8.276573181152344], [281, 231, 8.544103622436523], [281, 231, 8.544103622436523], [287, 165, 9.013978004455566], [287, 165, 9.013978004455566], [289, 154, 9.013978004455566], [289, 154, 9.013978004455566], [289, 154, 9.013978004455566]]",100
2,"[[275, 234, 9.34087085723877], [275, 234, 9.34087085723877], [275, 234, 9.34087085723877], [275, 234, 9.34087085723877], [275, 234, 9.34087085723877], [275, 234, 9.34087085723877], [278, 186, 9.486932754516602], [278, 186, 9.486932754516602], [280, 162, 10.440406799316406], [280, 162, 10.440406799316406]]",50
3,"[[271, 229, 9.486932754516602], [271, 229, 9.486932754516602], [274, 180, 9.962529182434082], [274, 180, 9.962529182434082], [274, 180, 9.962529182434082], [274, 180, 9.962529182434082], [274, 180, 9.962529182434082], [279, 135, 10.594910621643066], [279, 135, 10.594910621643066], [279, 135, 10.594910621643066]]",0
4,"[[278, 229, 9.34087085723877], [282, 186, 8.732224464416504], [282, 186, 8.732224464416504], [284, 168, 9.192488670349121], [284, 168, 9.192488670349121], [284, 168, 9.192488670349121], [284, 168, 9.192488670349121], [284, 168, 9.192488670349121], [289, 138, 9.34087085723877], [289, 138, 9.34087085723877]]",80
